Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:45:57] (2.50s) | Epoch: 1 | Batch: 69 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 19862.515625
[07/16/24 13:45:57] (2.53s) | Epoch: 1 | Batch: 70 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 20333.767578125
[07/16/24 13:45:57] (2.56s) | Epoch: 1 | Batch: 71 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 19753.984375
[07/16/24 13:45:57] (2.60s) | Epoch: 1 | Batch: 72 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20662.30078125
[07/16/24 13:45:57] (2.63s) | Epoch: 1 | Batch: 73 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19689.609375
[07/16/24 13:45:57] (2.66s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20163.03125
[07/16/24 13:45:57] (2.69s) | Epoch: 1 | Batch: 75 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 19659.92578125
[07/16/24 13:45:57] (2.73s) | Epoch: 1 | Batch: 76 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 19103.65234375
[07/16/24 13:45:57] (2.76s) | Epoch: 1 | Batch: 77 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 19775.8984375
[07/16/24 13:45:57] (2.79s) | Epoch: 1 | Batch: 78 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 20734.1953125
[07/16/24 13:45:57] (2.82s) | Epoch: 1 | Batch: 79 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19961.37890625
[07/16/24 13:45:57] (2.85s) | Epoch: 1 | Batch: 80 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20455.11328125
[07/16/24 13:45:57] (2.89s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19089.16015625
[07/16/24 13:45:57] (2.92s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20171.54296875
[07/16/24 13:45:58] (2.95s) | Epoch: 1 | Batch: 83 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20124.50390625
[07/16/24 13:45:58] (2.98s) | Epoch: 1 | Batch: 84 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 18763.130859375
[07/16/24 13:45:58] (3.01s) | Epoch: 1 | Batch: 85 (0.024s) | LR: 0.001 | KL Weight: 0 | Loss: 19911.310546875
[07/16/24 13:45:58] (3.05s) | Epoch: 1 | Batch: 86 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20291.64453125
[07/16/24 13:45:58] (3.08s) | Epoch: 1 | Batch: 87 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19797.4375
[07/16/24 13:45:58] (3.11s) | Epoch: 1 | Batch: 88 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20466.3203125
[07/16/24 13:45:58] (3.14s) | Epoch: 1 | Batch: 89 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20045.658203125
[07/16/24 13:45:58] (3.17s) | Epoch: 1 | Batch: 90 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 19808.88671875
[07/16/24 13:45:58] (3.20s) | Epoch: 1 | Batch: 91 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20330.00390625
[07/16/24 13:45:58] (3.24s) | Epoch: 1 | Batch: 92 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20534.55859375
[07/16/24 13:45:58] (3.27s) | Epoch: 1 | Batch: 93 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20074.822265625
[07/16/24 13:45:58] (3.30s) | Epoch: 1 | Batch: 94 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19169.64453125
[07/16/24 13:45:58] (3.33s) | Epoch: 1 | Batch: 95 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19915.453125
[07/16/24 13:45:58] (3.36s) | Epoch: 1 | Batch: 96 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 19823.84765625
[07/16/24 13:45:58] (3.40s) | Epoch: 1 | Batch: 97 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20104.732421875
[07/16/24 13:45:58] (3.43s) | Epoch: 1 | Batch: 98 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19273.5234375
[07/16/24 13:45:58] (3.46s) | Epoch: 1 | Batch: 99 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20006.375
[07/16/24 13:45:58] (3.49s) | Epoch: 1 | Batch: 100 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19741.48046875
[07/16/24 13:45:58] (3.52s) | Epoch: 1 | Batch: 101 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 19980.40625
[07/16/24 13:45:58] (3.55s) | Epoch: 1 | Batch: 102 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 19636.1171875
[07/16/24 13:45:58] (3.59s) | Epoch: 1 | Batch: 103 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 19523.880859375
[07/16/24 13:45:58] (3.62s) | Epoch: 1 | Batch: 104 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19195.23828125
[07/16/24 13:45:58] (3.65s) | Epoch: 1 | Batch: 105 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19702.45703125
[07/16/24 13:45:58] (3.68s) | Epoch: 1 | Batch: 106 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19656.70703125
[07/16/24 13:45:58] (3.71s) | Epoch: 1 | Batch: 107 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20595.2421875
[07/16/24 13:45:58] (3.75s) | Epoch: 1 | Batch: 108 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20398.88671875
[07/16/24 13:45:58] (3.78s) | Epoch: 1 | Batch: 109 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19866.83203125
[07/16/24 13:45:58] (3.81s) | Epoch: 1 | Batch: 110 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19665.89453125
[07/16/24 13:45:58] (3.84s) | Epoch: 1 | Batch: 111 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19245.677734375
[07/16/24 13:45:58] (3.87s) | Epoch: 1 | Batch: 112 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 19368.375
[07/16/24 13:45:58] (3.90s) | Epoch: 1 | Batch: 113 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 19946.193359375
[07/16/24 13:45:59] (3.94s) | Epoch: 1 | Batch: 114 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 19433.52734375
[07/16/24 13:45:59] (3.97s) | Epoch: 1 | Batch: 115 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 19526.498046875
[07/16/24 13:45:59] (4.00s) | Epoch: 1 | Batch: 116 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20115.75390625
[07/16/24 13:45:59] (4.03s) | Epoch: 1 | Batch: 117 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19205.970703125
[07/16/24 13:45:59] (4.06s) | Epoch: 1 | Batch: 118 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19662.142578125
[07/16/24 13:45:59] (4.10s) | Epoch: 1 | Batch: 119 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18501.73046875
[07/16/24 13:45:59] (4.13s) | Epoch: 1 | Batch: 120 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18782.103515625
[07/16/24 13:45:59] (4.16s) | Epoch: 1 | Batch: 121 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18976.18359375
[07/16/24 13:45:59] (4.19s) | Epoch: 1 | Batch: 122 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18253.494140625
[07/16/24 13:45:59] (4.22s) | Epoch: 1 | Batch: 123 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19311.34375
[07/16/24 13:45:59] (4.25s) | Epoch: 1 | Batch: 124 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 18615.923828125
[07/16/24 13:45:59] (4.29s) | Epoch: 1 | Batch: 125 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 18994.07421875
[07/16/24 13:45:59] (4.32s) | Epoch: 1 | Batch: 126 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 18988.35546875
[07/16/24 13:45:59] (4.35s) | Epoch: 1 | Batch: 127 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19067.0234375
[07/16/24 13:45:59] (4.38s) | Epoch: 1 | Batch: 128 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19699.99609375
[07/16/24 13:45:59] (4.41s) | Epoch: 1 | Batch: 129 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18191.0
[07/16/24 13:45:59] (4.45s) | Epoch: 1 | Batch: 130 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18035.71875
[07/16/24 13:45:59] (4.48s) | Epoch: 1 | Batch: 131 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 19377.677734375
[07/16/24 13:45:59] (4.51s) | Epoch: 1 | Batch: 132 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18506.72265625
[07/16/24 13:45:59] (4.54s) | Epoch: 1 | Batch: 133 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18974.763671875
[07/16/24 13:45:59] (4.57s) | Epoch: 1 | Batch: 134 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18725.07421875
[07/16/24 13:45:59] (4.60s) | Epoch: 1 | Batch: 135 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 18819.69921875
[07/16/24 13:45:59] (4.64s) | Epoch: 1 | Batch: 136 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19276.28125
[07/16/24 13:45:59] (4.67s) | Epoch: 1 | Batch: 137 (0.024s) | LR: 0.001 | KL Weight: 0 | Loss: 18954.20703125
[07/16/24 13:45:59] (4.70s) | Epoch: 1 | Batch: 138 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 17651.1953125
[07/16/24 13:45:59] (4.73s) | Epoch: 1 | Batch: 139 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 19378.205078125
[07/16/24 13:45:59] (4.76s) | Epoch: 1 | Batch: 140 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 18627.791015625
[07/16/24 13:45:59] (4.80s) | Epoch: 1 | Batch: 141 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18402.814453125
[07/16/24 13:45:59] (4.83s) | Epoch: 1 | Batch: 142 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18605.84765625
[07/16/24 13:45:59] (4.86s) | Epoch: 1 | Batch: 143 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18555.90625
[07/16/24 13:45:59] (4.89s) | Epoch: 1 | Batch: 144 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18405.20703125
[07/16/24 13:45:59] (4.92s) | Epoch: 1 | Batch: 145 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19401.91015625
[07/16/24 13:46:00] (4.96s) | Epoch: 1 | Batch: 146 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 17666.21875
[07/16/24 13:46:00] (4.99s) | Epoch: 1 | Batch: 147 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 17359.8203125
[07/16/24 13:46:00] (5.02s) | Epoch: 1 | Batch: 148 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 18070.576171875
[07/16/24 13:46:00] (5.05s) | Epoch: 1 | Batch: 149 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 18724.564453125
[07/16/24 13:46:00] (5.09s) | Epoch: 1 | Batch: 150 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18655.33984375
[07/16/24 13:46:00] (5.12s) | Epoch: 1 | Batch: 151 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18524.201171875
[07/16/24 13:46:00] (5.15s) | Epoch: 1 | Batch: 152 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18667.7734375
[07/16/24 13:46:00] (5.18s) | Epoch: 1 | Batch: 153 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 18799.89453125
[07/16/24 13:46:00] (5.21s) | Epoch: 1 | Batch: 154 (0.024s) | LR: 0.001 | KL Weight: 0 | Loss: 18453.2109375
[07/16/24 13:46:00] (5.25s) | Epoch: 1 | Batch: 155 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18403.3828125
[07/16/24 13:46:00] (5.28s) | Epoch: 1 | Batch: 156 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18457.736328125
[07/16/24 13:46:00] (5.31s) | Epoch: 1 | Batch: 157 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18426.201171875
[07/16/24 13:46:00] (5.34s) | Epoch: 1 | Batch: 158 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18863.5859375
[07/16/24 13:46:00] (5.38s) | Epoch: 1 | Batch: 159 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 18741.974609375
[07/16/24 13:46:00] (5.41s) | Epoch: 1 | Batch: 160 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18574.548828125
[07/16/24 13:46:00] (5.44s) | Epoch: 1 | Batch: 161 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 18591.05078125
[07/16/24 13:46:00] (5.47s) | Epoch: 1 | Batch: 162 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 18401.42578125
[07/16/24 13:46:00] (5.50s) | Epoch: 1 | Batch: 163 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 18161.6328125
[07/16/24 13:46:00] (5.53s) | Epoch: 1 | Batch: 164 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18219.73046875
[07/16/24 13:46:00] (5.56s) | Epoch: 1 | Batch: 165 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 18424.85546875
[07/16/24 13:46:00] (5.60s) | Epoch: 1 | Batch: 166 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 18143.998046875
[07/16/24 13:46:00] (5.63s) | Epoch: 1 | Batch: 167 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 17659.94921875
[07/16/24 13:46:00] (5.66s) | Epoch: 1 | Batch: 168 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 17946.533203125
[07/16/24 13:46:00] (5.69s) | Epoch: 1 | Batch: 169 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18061.66796875
[07/16/24 13:46:00] (5.73s) | Epoch: 1 | Batch: 170 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 18493.35546875
[07/16/24 13:46:00] (5.76s) | Epoch: 1 | Batch: 171 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 18167.896484375
[07/16/24 13:46:00] (5.79s) | Epoch: 1 | Batch: 172 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 17678.71875
[07/16/24 13:46:00] (5.82s) | Epoch: 1 | Batch: 173 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 17605.619140625
[07/16/24 13:46:00] (5.85s) | Epoch: 1 | Batch: 174 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 17842.63671875
[07/16/24 13:46:00] (5.89s) | Epoch: 1 | Batch: 175 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 18096.400390625
