Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:24:56] (4.78s) | Epoch: 1 | Batch: 142 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16740.626953125
[07/16/24 12:24:56] (4.81s) | Epoch: 1 | Batch: 143 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16786.46875
[07/16/24 12:24:56] (4.84s) | Epoch: 1 | Batch: 144 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 16956.44140625
[07/16/24 12:24:56] (4.87s) | Epoch: 1 | Batch: 145 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16225.45703125
[07/16/24 12:24:56] (4.90s) | Epoch: 1 | Batch: 146 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17118.7890625
[07/16/24 12:24:56] (4.93s) | Epoch: 1 | Batch: 147 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 16526.681640625
[07/16/24 12:24:56] (4.97s) | Epoch: 1 | Batch: 148 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 16403.701171875
[07/16/24 12:24:56] (5.00s) | Epoch: 1 | Batch: 149 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 16319.568359375
[07/16/24 12:24:56] (5.03s) | Epoch: 1 | Batch: 150 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 16271.9541015625
[07/16/24 12:24:56] (5.06s) | Epoch: 1 | Batch: 151 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 16584.55859375
[07/16/24 12:24:56] (5.09s) | Epoch: 1 | Batch: 152 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 15946.6943359375
[07/16/24 12:24:56] (5.12s) | Epoch: 1 | Batch: 153 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16143.0029296875
[07/16/24 12:24:56] (5.15s) | Epoch: 1 | Batch: 154 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16504.8203125
[07/16/24 12:24:56] (5.18s) | Epoch: 1 | Batch: 155 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 15430.896484375
[07/16/24 12:24:56] (5.21s) | Epoch: 1 | Batch: 156 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 15760.2763671875
[07/16/24 12:24:56] (5.25s) | Epoch: 1 | Batch: 157 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16467.33984375
[07/16/24 12:24:57] (5.28s) | Epoch: 1 | Batch: 158 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 16956.703125
[07/16/24 12:24:57] (5.31s) | Epoch: 1 | Batch: 159 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16311.1572265625
[07/16/24 12:24:57] (5.34s) | Epoch: 1 | Batch: 160 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16695.8125
[07/16/24 12:24:57] (5.37s) | Epoch: 1 | Batch: 161 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16455.75390625
[07/16/24 12:24:57] (5.41s) | Epoch: 1 | Batch: 162 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16370.8251953125
[07/16/24 12:24:57] (5.44s) | Epoch: 1 | Batch: 163 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16113.0576171875
[07/16/24 12:24:57] (5.47s) | Epoch: 1 | Batch: 164 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 16218.0458984375
[07/16/24 12:24:57] (5.50s) | Epoch: 1 | Batch: 165 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 16183.6201171875
[07/16/24 12:24:57] (5.53s) | Epoch: 1 | Batch: 166 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 16086.5224609375
[07/16/24 12:24:57] (5.56s) | Epoch: 1 | Batch: 167 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 15936.9033203125
[07/16/24 12:24:57] (5.59s) | Epoch: 1 | Batch: 168 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16026.5849609375
[07/16/24 12:24:57] (5.63s) | Epoch: 1 | Batch: 169 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 15347.9189453125
[07/16/24 12:24:57] (5.66s) | Epoch: 1 | Batch: 170 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 15341.3359375
[07/16/24 12:24:57] (5.69s) | Epoch: 1 | Batch: 171 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 15616.591796875
[07/16/24 12:24:57] (5.72s) | Epoch: 1 | Batch: 172 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 15233.5146484375
[07/16/24 12:24:57] (5.75s) | Epoch: 1 | Batch: 173 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 15600.279296875
[07/16/24 12:24:57] (5.78s) | Epoch: 1 | Batch: 174 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 14961.0712890625
