07/17/24 13:12:41 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 13:12:44 (3.01s) | Epoch: 1 | Batch: 94 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.03s) | Epoch: 1 | Batch: 95 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.05s) | Epoch: 1 | Batch: 96 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.06s) | Epoch: 1 | Batch: 97 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.08s) | Epoch: 1 | Batch: 98 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.10s) | Epoch: 1 | Batch: 99 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.11s) | Epoch: 1 | Batch: 100 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.12s) | Epoch: 1 | Batch: 101 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.14s) | Epoch: 1 | Batch: 102 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.16s) | Epoch: 1 | Batch: 103 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (3.17s) | Epoch: 1 | Batch: 104 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.19s) | Epoch: 1 | Batch: 105 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.20s) | Epoch: 1 | Batch: 106 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.22s) | Epoch: 1 | Batch: 107 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (3.23s) | Epoch: 1 | Batch: 108 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.25s) | Epoch: 1 | Batch: 109 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.27s) | Epoch: 1 | Batch: 110 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.28s) | Epoch: 1 | Batch: 111 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.30s) | Epoch: 1 | Batch: 112 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.31s) | Epoch: 1 | Batch: 113 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.33s) | Epoch: 1 | Batch: 114 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (3.35s) | Epoch: 1 | Batch: 115 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.36s) | Epoch: 1 | Batch: 116 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.38s) | Epoch: 1 | Batch: 117 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.40s) | Epoch: 1 | Batch: 118 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.41s) | Epoch: 1 | Batch: 119 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.43s) | Epoch: 1 | Batch: 120 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.45s) | Epoch: 1 | Batch: 121 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.46s) | Epoch: 1 | Batch: 122 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.48s) | Epoch: 1 | Batch: 123 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.50s) | Epoch: 1 | Batch: 124 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.51s) | Epoch: 1 | Batch: 125 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.53s) | Epoch: 1 | Batch: 126 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.55s) | Epoch: 1 | Batch: 127 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.56s) | Epoch: 1 | Batch: 128 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (3.58s) | Epoch: 1 | Batch: 129 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.60s) | Epoch: 1 | Batch: 130 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.61s) | Epoch: 1 | Batch: 131 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.24
