Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:24:17] (5.19s) | Epoch: 1 | Batch: 152 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17014.65625
[07/16/24 13:24:17] (5.23s) | Epoch: 1 | Batch: 153 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17648.083984375
[07/16/24 13:24:17] (5.26s) | Epoch: 1 | Batch: 154 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17307.5234375
[07/16/24 13:24:18] (5.30s) | Epoch: 1 | Batch: 155 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 18014.353515625
[07/16/24 13:24:18] (5.33s) | Epoch: 1 | Batch: 156 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 16403.390625
[07/16/24 13:24:18] (5.37s) | Epoch: 1 | Batch: 157 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 16132.6142578125
[07/16/24 13:24:18] (5.40s) | Epoch: 1 | Batch: 158 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 16900.068359375
[07/16/24 13:24:18] (5.43s) | Epoch: 1 | Batch: 159 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 17511.798828125
[07/16/24 13:24:18] (5.46s) | Epoch: 1 | Batch: 160 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 16663.458984375
[07/16/24 13:24:18] (5.49s) | Epoch: 1 | Batch: 161 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 16680.048828125
[07/16/24 13:24:18] (5.53s) | Epoch: 1 | Batch: 162 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 16482.146484375
[07/16/24 13:24:18] (5.56s) | Epoch: 1 | Batch: 163 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 16523.58984375
