Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 21:02:24] (3.12s) | Epoch: 1 | Batch: 89 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19710.646484375
[07/16/24 21:02:24] (3.15s) | Epoch: 1 | Batch: 90 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19252.34375
[07/16/24 21:02:24] (3.18s) | Epoch: 1 | Batch: 91 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18588.1328125
[07/16/24 21:02:24] (3.22s) | Epoch: 1 | Batch: 92 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18967.146484375
[07/16/24 21:02:24] (3.25s) | Epoch: 1 | Batch: 93 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19376.248046875
[07/16/24 21:02:24] (3.28s) | Epoch: 1 | Batch: 94 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19271.685546875
[07/16/24 21:02:24] (3.31s) | Epoch: 1 | Batch: 95 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19499.7890625
[07/16/24 21:02:24] (3.34s) | Epoch: 1 | Batch: 96 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19287.6640625
[07/16/24 21:02:24] (3.37s) | Epoch: 1 | Batch: 97 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18863.853515625
[07/16/24 21:02:24] (3.41s) | Epoch: 1 | Batch: 98 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19461.5
[07/16/24 21:02:24] (3.44s) | Epoch: 1 | Batch: 99 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18874.4765625
[07/16/24 21:02:25] (3.46s) | Epoch: 1 | Batch: 100 (0.012s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18859.78515625
[07/16/24 21:02:25] (3.49s) | Epoch: 1 | Batch: 101 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19023.59765625
